SKU,Product_Name,Category,Supplier,Quantity_On_Hand,Reorder_Level,Unit_Cost,Unit_Price,Lead_Time_Days,Last_Restock_Date
EL-1001,Wireless Barcode Scanner,Electronics,Apex Supply Co,18,12,89.50,139.00,14,2026-06-12
EL-1002,Industrial Tablet 8 Inch,Electronics,Apex Supply Co,7,10,215.00,329.00,21,2026-05-26
EL-1003,USB Thermal Label Printer,Electronics,NorthStar Wholesale,0,8,132.00,219.00,18,2026-05-18
EL-1004,Handheld RFID Reader,Electronics,Vertex Traders,4,6,390.00,579.00,24,2026-06-02
EL-1005,Warehouse WiFi Router,Electronics,Apex Supply Co,15,7,74.00,119.00,12,2026-06-20
EL-1006,Rechargeable Scanner Battery,Electronics,NorthStar Wholesale,42,25,18.50,34.00,10,2026-06-28
EL-1007,Mobile POS Dock,Electronics,Vertex Traders,11,9,96.00,149.00,16,2026-06-08
EL-1008,Bluetooth Inventory Tag,Electronics,Apex Supply Co,95,60,6.75,12.50,9,2026-07-01
EL-1009,Digital Scale 30kg,Electronics,NorthStar Wholesale,6,6,58.00,94.00,15,2026-05-30
EL-1010,Security Camera Dome,Electronics,Vertex Traders,23,12,48.00,82.00,20,2026-06-17
GR-2001,Organic Brown Rice 5kg,Groceries,FreshLine Distributors,85,70,9.20,15.99,4,2026-07-03
GR-2002,Whole Wheat Flour 10kg,Groceries,FreshLine Distributors,52,65,11.00,18.50,3,2026-06-29
GR-2003,Cold Pressed Sunflower Oil,Groceries,FreshLine Distributors,0,40,7.80,13.75,5,2026-06-11
GR-2004,Canned Chickpeas Case,Groceries,FreshLine Distributors,120,80,14.50,24.00,6,2026-07-02
GR-2005,Premium Tea Bags 500ct,Groceries,FreshLine Distributors,33,45,16.20,28.00,4,2026-06-21
GR-2006,Instant Coffee 1kg,Groceries,FreshLine Distributors,76,55,21.00,36.00,7,2026-06-25
GR-2007,Pasta Penne Case,Groceries,FreshLine Distributors,140,90,12.40,21.50,3,2026-07-04
GR-2008,Tomato Sauce Case,Groceries,FreshLine Distributors,64,70,10.80,18.99,6,2026-06-18
GR-2009,Breakfast Cereal Case,Groceries,FreshLine Distributors,48,50,19.30,32.00,5,2026-06-27
GR-2010,Almond Milk Carton Case,Groceries,FreshLine Distributors,92,60,17.00,29.00,4,2026-07-01
OF-3001,A4 Copier Paper Carton,Office Supplies,Metro Office Mart,210,120,18.00,31.00,8,2026-06-24
OF-3002,Black Gel Pens Box,Office Supplies,Metro Office Mart,58,75,4.20,8.99,6,2026-06-14
OF-3003,Desk Organizer Tray,Office Supplies,Vertex Traders,34,30,6.60,13.50,11,2026-06-03
OF-3004,Toner Cartridge Black,Office Supplies,NorthStar Wholesale,9,15,42.00,69.00,13,2026-05-22
OF-3005,Sticky Notes Bulk Pack,Office Supplies,Metro Office Mart,115,80,5.10,10.50,5,2026-06-26
OF-3006,Packaging Tape 72 Roll Case,Office Supplies,Metro Office Mart,72,60,27.50,45.00,7,2026-06-19
OF-3007,Shipping Label Roll,Office Supplies,NorthStar Wholesale,26,40,8.90,16.00,9,2026-06-09
OF-3008,Clipboards Pack of 24,Office Supplies,Vertex Traders,41,25,22.00,38.00,12,2026-06-16
OF-3009,Whiteboard Marker Box,Office Supplies,Metro Office Mart,0,35,7.40,14.00,6,2026-05-28
OF-3010,File Folder Case,Office Supplies,NorthStar Wholesale,88,55,13.75,24.50,10,2026-06-30
HM-4001,Cotton Bath Towel Set,Home Goods,FreshLine Distributors,38,30,14.00,27.00,14,2026-06-01
HM-4002,Stainless Mixing Bowl Set,Home Goods,Vertex Traders,22,24,18.50,34.00,18,2026-06-10
HM-4003,LED Desk Lamp,Home Goods,Apex Supply Co,17,16,19.75,39.00,12,2026-06-22
HM-4004,Microfiber Cleaning Cloth Case,Home Goods,Metro Office Mart,105,70,12.50,22.00,8,2026-07-02
HM-4005,Nonstick Fry Pan 10 Inch,Home Goods,Vertex Traders,29,20,16.30,31.00,17,2026-06-13
HM-4006,Glass Food Container Set,Home Goods,FreshLine Distributors,0,18,20.25,38.00,15,2026-05-24
HM-4007,Ceramic Dinner Plate Set,Home Goods,Vertex Traders,14,18,24.00,45.00,22,2026-06-05
HM-4008,Storage Bin 45L,Home Goods,Metro Office Mart,67,40,11.20,21.00,9,2026-06-27
HM-4009,Electric Kettle 1.7L,Home Goods,Apex Supply Co,12,10,23.50,44.00,13,2026-06-18
HM-4010,Bamboo Cutting Board,Home Goods,FreshLine Distributors,44,35,9.60,19.00,16,2026-06-23
AP-5001,Nitrile Gloves Case,Apparel & Safety,Summit Safety Works,160,100,32.00,54.00,9,2026-07-01
AP-5002,Reflective Safety Vest,Apparel & Safety,Summit Safety Works,47,50,7.25,15.00,8,2026-06-20
AP-5003,Steel Toe Work Boots,Apparel & Safety,Summit Safety Works,18,20,42.00,79.00,20,2026-06-07
AP-5004,Warehouse Apron,Apparel & Safety,Metro Office Mart,31,25,8.70,17.00,10,2026-06-15
AP-5005,Cut Resistant Gloves,Apparel & Safety,Summit Safety Works,0,45,11.50,22.00,11,2026-05-31
AP-5006,Hard Hat Adjustable,Apparel & Safety,Summit Safety Works,64,40,12.75,24.00,13,2026-06-26
AP-5007,Safety Goggles Anti Fog,Apparel & Safety,Vertex Traders,39,35,5.80,12.00,14,2026-06-17
AP-5008,Disposable Face Mask Box,Apparel & Safety,Summit Safety Works,220,150,3.80,8.00,6,2026-07-03
AP-5009,Hi Vis Rain Jacket,Apparel & Safety,Summit Safety Works,9,12,28.00,55.00,21,2026-06-04
AP-5010,Back Support Belt,Apparel & Safety,Vertex Traders,27,20,15.40,29.00,16,2026-06-12
PK-6001,Corrugated Box Small,Packaging,Metro Office Mart,340,220,0.62,1.25,5,2026-07-04
PK-6002,Corrugated Box Medium,Packaging,Metro Office Mart,180,200,0.88,1.75,5,2026-06-28
PK-6003,Corrugated Box Large,Packaging,Metro Office Mart,95,120,1.25,2.60,6,2026-06-19
PK-6004,Bubble Wrap Roll,Packaging,NorthStar Wholesale,28,35,18.00,31.00,9,2026-06-08
PK-6005,Air Pillow Film Roll,Packaging,NorthStar Wholesale,16,20,26.00,44.00,11,2026-06-01
PK-6006,Kraft Mailer Pack,Packaging,Metro Office Mart,260,180,0.42,0.95,4,2026-07-02
PK-6007,Pallet Stretch Film,Packaging,Vertex Traders,54,45,14.20,25.00,12,2026-06-23
PK-6008,Fragile Label Roll,Packaging,Metro Office Mart,0,30,4.90,9.50,5,2026-05-25
PK-6009,Packing Peanuts Bag,Packaging,NorthStar Wholesale,36,40,7.60,14.00,8,2026-06-13
PK-6010,Paper Void Fill Roll,Packaging,Metro Office Mart,72,50,10.30,19.00,6,2026-06-29
